#            configname    selected           comp(a)    formation_energy        clex()
    SCEL6_3_2_1_1_1_0/0           1        0.16666667         -0.16026067    -0.16826059
    SCEL6_3_2_1_1_1_0/1           1        0.33333333         -0.27308341    -0.28603928
    SCEL6_3_2_1_1_1_0/2           1        0.33333333         -0.28812768    -0.27980839
    SCEL6_3_2_1_1_1_0/3           1        0.50000000         -0.33397909    -0.32892067
    SCEL6_3_2_1_1_1_0/4           1        0.50000000         -0.30978965    -0.29639741
    SCEL6_3_2_1_1_1_0/5           1        0.66666667         -0.25496307    -0.27410965
    SCEL6_3_2_1_1_1_0/6           1        0.66666667         -0.26116267    -0.25737801
    SCEL6_3_2_1_1_1_0/7           1        0.83333333         -0.14086004    -0.14089509
    SCEL6_6_1_1_0_4_1/0           1        0.16666667         -0.15575346    -0.15865364
    SCEL6_6_1_1_0_4_1/1           1        0.33333333         -0.26107976    -0.25852085
    SCEL6_6_1_1_0_4_1/2           1        0.33333333         -0.28499867    -0.27463764
    SCEL6_6_1_1_0_4_1/3           1        0.50000000         -0.27704487    -0.27777864
    SCEL6_6_1_1_0_4_1/4           1        0.50000000         -0.34536122    -0.30657312
    SCEL6_6_1_1_0_4_1/5           1        0.66666667         -0.24417982    -0.24022251
    SCEL6_6_1_1_0_4_1/6           1        0.66666667         -0.26185944    -0.25228522
    SCEL6_6_1_1_0_4_1/7           1        0.83333333         -0.14270467    -0.14023851
    SCEL6_6_1_1_0_5_3/1           1        0.33333333         -0.26847743    -0.26369859
    SCEL6_6_1_1_0_5_3/2           1        0.33333333         -0.30453135    -0.31359193
    SCEL6_6_1_1_0_5_3/3           1        0.50000000         -0.30723560    -0.31381043
    SCEL6_6_1_1_0_5_3/4           1        0.50000000         -0.31042933    -0.30158312
    SCEL6_6_1_1_0_5_3/5           1        0.66666667         -0.24948255    -0.25585844
    SCEL6_6_1_1_0_5_3/6           1        0.66666667         -0.29532258    -0.30567204
    SCEL6_6_1_1_0_5_3/7           1        0.83333333         -0.14618669    -0.15073080
    SCEL6_6_1_1_0_5_5/0           1        0.16666667         -0.15244754    -0.15806318
    SCEL6_6_1_1_0_5_5/1           1        0.33333333         -0.25069191    -0.23733569
    SCEL6_6_1_1_0_5_5/2           1        0.33333333         -0.30145919    -0.30512620
    SCEL6_6_1_1_0_5_5/3           1        0.50000000         -0.23754328    -0.26289420
    SCEL6_6_1_1_0_5_5/4           1        0.50000000         -0.33324011    -0.31181528
    SCEL6_6_1_1_0_5_5/5           1        0.66666667         -0.22407221    -0.22115448
    SCEL6_6_1_1_0_5_5/6           1        0.66666667         -0.29166000    -0.30398714
    SCEL6_6_1_1_0_5_5/7           1        0.83333333         -0.14409098    -0.15131330
