#            configname    selected           comp(a)    formation_energy        clex()
    SCEL6_3_2_1_0_1_0/5           1        0.66666667         -0.26871618    -0.28680207
    SCEL6_3_2_1_0_1_0/6           1        0.66666667         -0.25758517    -0.25289233
    SCEL6_3_2_1_0_1_0/7           1        0.83333333         -0.14231995    -0.14474018
    SCEL6_3_2_1_1_1_0/0           1        0.16666667         -0.16026067    -0.17183901
    SCEL6_3_2_1_1_1_0/1           1        0.33333333         -0.27308341    -0.27347833
    SCEL6_3_2_1_1_1_0/2           1        0.33333333         -0.28812768    -0.28247227
    SCEL6_3_2_1_1_1_0/3           1        0.50000000         -0.33397909    -0.30677351
    SCEL6_3_2_1_1_1_0/4           1        0.50000000         -0.30978965    -0.29561855
    SCEL6_3_2_1_1_1_0/5           1        0.66666667         -0.25496307    -0.25550334
    SCEL6_3_2_1_1_1_0/6           1        0.66666667         -0.26116267    -0.25664186
    SCEL6_3_2_1_1_1_0/7           1        0.83333333         -0.14086004    -0.13588902
    SCEL6_6_1_1_0_4_1/0           1        0.16666667         -0.15575346    -0.17124749
    SCEL6_6_1_1_0_4_1/1           1        0.33333333         -0.26107976    -0.26639931
    SCEL6_6_1_1_0_4_1/2           1        0.33333333         -0.28499867    -0.28188075
    SCEL6_6_1_1_0_4_1/3           1        0.50000000         -0.27704487    -0.28594307
    SCEL6_6_1_1_0_4_1/4           1        0.50000000         -0.34536122    -0.31604233
    SCEL6_6_1_1_0_4_1/5           1        0.66666667         -0.24417982    -0.24842431
    SCEL6_6_1_1_0_4_1/6           1        0.66666667         -0.26185944    -0.26390576
    SCEL6_6_1_1_0_4_1/7           1        0.83333333         -0.14270467    -0.14315292
    SCEL6_6_1_1_0_5_3/1           1        0.33333333         -0.26847743    -0.25785362
    SCEL6_6_1_1_0_5_3/2           1        0.33333333         -0.30453135    -0.30182219
    SCEL6_6_1_1_0_5_3/3           1        0.50000000         -0.30723560    -0.29011624
    SCEL6_6_1_1_0_5_3/4           1        0.50000000         -0.31042933    -0.29851371
    SCEL6_6_1_1_0_5_3/5           1        0.66666667         -0.24948255    -0.23202321
    SCEL6_6_1_1_0_5_3/6           1        0.66666667         -0.29532258    -0.29955803
    SCEL6_6_1_1_0_5_3/7           1        0.83333333         -0.14618669    -0.14271189
    SCEL6_6_1_1_0_5_5/0           1        0.16666667         -0.15244754    -0.16708515
    SCEL6_6_1_1_0_5_5/1           1        0.33333333         -0.25069191    -0.23352982
    SCEL6_6_1_1_0_5_5/2           1        0.33333333         -0.30145919    -0.30595630
    SCEL6_6_1_1_0_5_5/3           1        0.50000000         -0.23754328    -0.25676666
    SCEL6_6_1_1_0_5_5/4           1        0.50000000         -0.33324011    -0.31580770
    SCEL6_6_1_1_0_5_5/5           1        0.66666667         -0.22407221    -0.22341024
    SCEL6_6_1_1_0_5_5/6           1        0.66666667         -0.29166000    -0.29583673
    SCEL6_6_1_1_0_5_5/7           1        0.83333333         -0.14409098    -0.14684600
